site,year,wyt,county,sierra_coast,trib,trib_name,reg,em_obs_total,surv_dist_km,egg_per_km,obs_strt,obs_end,estim_strt,estim_end,source_notes,notes
MFA-AMER,2011,W,PLACER,S,Y,American Canyon,R,NA,NA,NA,2011-06-01,NA,2011-06-01,NA,UCD,NA
MFY-WOLF,2011,W,SIERRA,S,Y,Wolf Creek,R,2,0.1,20,2011-06-05,NA,2011-06-05,NA,UCD,NA
MFY-WOLF,2011,W,SIERRA,S,Y,Wolf Creek,R,2,0.1,20,2011-06-22,NA,2011-06-22,NA,UCD,NA
NFA,2011,W,PLACER,S,N,NA,U,21,0.9,23.333333333333332,2011-07-13,NA,2011-06-29,2011-07-15,UCD,NA
NFY,2011,W,SIERRA,S,N,NA,U,NA,NA,NA,NA,NA,2011-06-30,NA,UCD,NA
RUB,2011,W,PLACER,S,N,NA,R,3,0.3,10,2011-07-12,NA,2011-06-30,2011-07-17,UCD,NA
MFY,2011,W,SIERRA,S,N,NA,R,14,0.4,35,2011-07-18,NA,2011-07-01,2011-07-20,UCD,NA
STAN,2011,W,TUOLUMNE,S,N,NA,R,NA,NA,NA,NA,NA,2011-07-05,NA,PG&E,estimated
MFA-AMER,2012,D,PLACER,S,Y,American Canyon,R,15,0.25,60,2012-05-07,NA,2012-05-01,NA,UCD,NA
NFA-RRAV,2012,D,PLACER,S,Y,Robbers Ravine,U,NA,NA,NA,2012-06-06,NA,2012-05-01,2012-05-25,UCD,NA
STAN,2012,D,TUOLUMNE,S,N,NA,R,19,0.3,63.333333333333336,2012-05-14,NA,2012-05-01,NA,PG&E,NA
RUB,2012,D,PLACER,S,N,NA,R,25,0.4,62.5,2012-05-21,2012-06-04,2012-05-14,2012-06-04,UCD,NA
MFY,2012,D,SIERRA,S,N,NA,R,2,0.4,5,2012-05-23,NA,2012-05-15,2012-06-01,UCD,NA
NFY,2012,D,SIERRA,S,N,NA,U,11,0.4,27.5,2012-06-05,NA,2012-05-15,2012-06-01,UCD,NA
NFA,2012,D,PLACER,S,N,NA,U,19,0.9,21.11111111111111,2012-05-25,2012-06-06,2012-05-18,2012-06-10,UCD,NA
MFA-AMER,2013,D,PLACER,S,Y,American Canyon,R,7,0.1,70,2013-04-25,2013-05-10,2013-04-20,2013-05-10,UCD,NA
NFA-RRAV,2013,D,PLACER,S,Y,Robbers Ravine,U,NA,NA,NA,2013-04-25,2013-05-10,2013-04-20,2013-05-10,UCD,NA
RUB,2013,D,PLACER,S,N,NA,R,14,0.4,35,2013-04-30,2013-05-20,2013-04-30,2013-05-20,UCD,NA
SFY,2013,D,SIERRA,S,N,NA,R,6,0.3,20,2013-05-16,2013-05-16,2013-05-01,2013-05-20,UCD,NA
NFA,2013,D,PLACER,S,N,NA,U,32,0.9,35.55555555555556,2013-05-10,2013-05-20,2013-05-10,2013-05-20,UCD,NA
NFY,2013,D,SIERRA,S,N,NA,U,7,0.5,14,2013-05-13,2013-05-23,2013-05-13,2013-05-23,UCD,NA
NFA-RRAV,2014,C,PLACER,S,Y,Robbers Ravine,U,3,0.1,30,2014-05-08,NA,2014-04-24,NA,UCD,NA
RUB,2014,D,PLACER,S,N,NA,R,21,0.5,42,2014-05-06,NA,2014-05-04,NA,UCD,NA
SFY,2014,D,SIERRA,S,N,NA,R,4,0.3,13.333333333333334,2014-05-13,NA,2014-05-06,NA,UCD,NA
NFA,2014,C,PLACER,S,N,NA,U,31,0.9,34.44444444444444,2014-05-08,NA,2014-05-07,NA,UCD,NA
NFY,2014,D,SIERRA,S,N,NA,U,13,0.5,26,2014-05-12,NA,2014-05-08,NA,UCD,NA
NFA-RRAV,2015,C,PLACER,S,Y,Robbers Ravine,N,26,0.1,260,2015-05-01,NA,2015-04-25,NA,UCD,NA
RUB,2015,D,PLACER,S,N,NA,R,13,0.3,43.333333333333336,2015-04-28,2015-05-20,2015-04-28,NA,UCD,NA
