Oviposition,River_Available,Act_velocity_m_s,act_depth_m,act_substrate
0,Available,0.37,0.1,5
0,Available,0.29,0.45,7
0,Available,0.52,0.84,8
0,Available,0,0.01,8
0,Available,0,0.28,8
0,Available,0.29,1.03,6
0,Available,0.63,0.15,3
0,Available,0.08,0.14,6
0,Available,0.08,0.7,7
0,Available,0.07,0.22,6
0,Available,0.75,0.6,5
0,Available,0.35,0.18,8
0,Available,0.21,0.59,5
0,Available,0.02,0.2,7
0,Available,0.27,0.63,3
0,Available,0.47,0.55,7
0,Available,0.42,0.83,5
0,Available,0.84,0.46,7
0,Available,0.01,0.09,6
0,Available,0.29,0.5,4
0,Available,0.28,0.15,3
0,Available,0.02,0.5,3
0,Available,0.01,0.09,5
0,Available,0.04,0.8,6
0,Available,0.04,0.2,7
0,Available,0.01,0.3,5
0,Available,0.26,0.52,4
0,Available,0.01,0.57,4
0,Available,0.45,0.42,5
0,Available,0.64,0.83,8
0,Available,0.02,0.12,4
0,Available,0.67,0.68,8
0,Available,0.03,0.07,6
0,Available,1.04,0.66,6
0,Available,0.92,0.66,5
0,Available,0.33,1.02,6
0,Available,0.29,0.64,7
0,Available,0.01,0.03,4
0,Available,0.7,0.65,5
0,Available,0.13,0.8,4
0,Available,0.21,0.95,5
0,Available,0.01,0.83,3
0,Available,0.05,0.24,6
0,Available,0.27,0.63,3
0,Available,0.62,1.04,5
0,Available,0.5,0.94,8
0,Available,0.33,1.1,7
0,Available,0.3,0.3,4
0,Available,0.04,0.25,4
0,Available,0.07,0.17,5
0,Available,0.01,0.22,7
0,Available,0.36,0.3,7
0,Available,0.64,0.48,6
0,Available,0.37,0.86,7
0,Available,0,0.02,3
0,Available,0.33,1.02,6
0,Available,0.62,0.48,5
0,Available,0.03,0.16,8
0,Available,1.25,0.2,6
0,Available,0.03,0.7,3
0,Available,0.28,0.12,4
0,Available,0.07,0.4,6
0,Available,0.26,0.52,4
0,Available,0.09,0.2,8
0,Available,1.02,0.65,7
0,Available,0.34,0.56,4
0,Available,0.47,0.22,5
0,Available,0.27,0.76,5
0,Available,0.02,0.18,5
0,Available,0.02,0.44,8
0,Available,0.01,0.14,7
0,Available,0.16,0.43,7
0,Available,0.04,0.18,5
0,Available,0.28,0.22,5
0,Available,0.01,0.08,4
0,Available,0.06,0.07,8
0,Available,0.23,0.37,6
0,Available,0.15,0.44,6
0,Available,0.13,0.07,3
0,Available,1.05,0.66,5
0,Available,0.29,0.8,8
0,Available,0.08,0.76,6
0,Available,0,0.12,8
0,Available,0.37,0.32,6
0,Available,0.1,0.19,4
0,Available,0.55,0.23,5
