Row,Site,Date,EggIDXSec,Meso_Type,Sub_Cat_8,Total_Depth,Mid_Velocity,Data_Type,Site_Code,SQRT_Velocity,Depth_Squared,Sub_Cont_8,Sub_Cat_6,Sub_Cont_6,velocity_plus_0005,Velocity_plus_005,SQRT_Vel005,Sub_Medians_Bldfix600,SubMedians_2,SubScoreBedadjusted,SubMedianBedadjusted,RandomSite,RandomDataType,RandomDepth,RandomSQRTVEL005,RandomDepthSqrd,RandomSubScoreBedADJ,Roughness_Sqyared,RandomSubBed_6,RandomSubBed6SQRD
11,NF AMERICAN,39974,7,RUN,6,0.52,0.34,AVAILABLE,5,0.583095189,0.2704,334,5,428,0.3405,0.345,0.587367006,428,183184,6,428,NF AMERICAN,Available,0.52,0.587367006,0.2704,6,36,5,25
12,MF FEATHER,39980,4,RIFFLE,7,0.22,0.01,AVAILABLE,2,0.1,0.0484,512,5,428,0.0105,0.015,0.122474487,428,183184,6,428,MF FEATHER,Available,0.22,0.122474487,0.0484,6,36,5,25
13,MF YUBA,39966,10,POOL,4,0.68,1.07,AVAILABLE,3,1.034408043,0.4624,96,4,160,1.0705,1.075,1.036822068,160,25600,5,160,MF YUBA,Available,0.68,1.036822068,0.4624,5,25,4,16
14,NF FEATHER,39966,1,RUN,4,0.21,0.01,AVAILABLE,6,0.1,0.0441,96,4,160,0.0105,0.015,0.122474487,160,25600,5,160,NF FEATHER,Available,0.21,0.122474487,0.0441,5,25,4,16
15,NF FEATHER,39966,5,RUN,5,0.76,0.27,AVAILABLE,6,0.519615242,0.5776,192,4,160,0.2705,0.275,0.524404424,160,25600,5,160,NF FEATHER,Available,0.76,0.524404424,0.5776,5,25,4,16
16,RUBICON,39962,5,RIFFLE,5,0.66,0.14,AVAILABLE,7,0.374165739,0.4356,192,4,160,0.1405,0.145,0.380788655,160,25600,5,160,RUBICON,Available,0.66,0.380788655,0.4356,5,25,4,16
17,NF AMERICAN,39974,9,POOL,5,1.08,0.41,AVAILABLE,5,0.640312424,1.1664,192,4,160,0.4105,0.415,0.644204936,160,25600,5,160,NF AMERICAN,Available,1.08,0.644204936,1.1664,5,25,4,16
18,MF FEATHER,39980,10,RUN,7,0.16,0.04,AVAILABLE,2,0.2,0.0256,512,5,428,0.0405,0.045,0.212132034,428,183184,6,428,MF FEATHER,Available,0.16,0.212132034,0.0256,6,36,5,25
19,MF YUBA,39966,3,RUN,6,0.64,0.89,AVAILABLE,3,0.943398113,0.4096,334,5,428,0.8905,0.895,0.946044396,428,183184,6,428,MF YUBA,Available,0.64,0.946044396,0.4096,6,36,5,25
20,MF FEATHER,39980,11,RUN,4,0.43,0.31,AVAILABLE,2,0.556776436,0.1849,96,4,160,0.3105,0.315,0.561248608,160,25600,5,160,MF FEATHER,Available,0.43,0.561248608,0.1849,5,25,4,16
21,NF FEATHER,39966,3,RAPID,4,0.24,0.2,AVAILABLE,6,0.447213595,0.0576,96,4,160,0.2005,0.205,0.452769257,160,25600,5,160,NF FEATHER,Available,0.24,0.452769257,0.0576,5,25,4,16
22,NFMF AMERICAN,39967,3,RUN,7,0.16,0,AVAILABLE,4,0,0.0256,512,5,428,0.0005,0.005,0.070710678,428,183184,6,428,NFMF AMERICAN,Available,0.16,0.070710678,0.0256,6,36,5,25
23,MF YUBA,39966,3,RUN,6,0.48,0.58,AVAILABLE,3,0.761577311,0.2304,334,5,428,0.5805,0.585,0.764852927,428,183184,6,428,MF YUBA,Available,0.48,0.764852927,0.2304,6,36,5,25
24,MF YUBA,39966,10,POOL,4,0.16,0.1,AVAILABLE,3,0.316227766,0.0256,96,4,160,0.1005,0.105,0.324037035,160,25600,5,160,MF YUBA,Available,0.16,0.324037035,0.0256,5,25,4,16
25,NF FEATHER,39966,7,RUN,6,0.44,0.59,AVAILABLE,6,0.768114575,0.1936,334,5,428,0.5905,0.595,0.771362431,428,183184,6,428,NF FEATHER,Available,0.44,0.771362431,0.1936,6,36,5,25
26,MF FEATHER,39980,2,RUN,3,0.3,0.01,AVAILABLE,2,0.1,0.09,31,3,32,0.0105,0.015,0.122474487,32,1024,3,32,MF FEATHER,Available,0.3,0.122474487,0.09,3,9,3,9
27,NF AMERICAN,39974,9,POOL,4,0.1,0.08,AVAILABLE,5,0.282842712,0.01,96,4,160,0.0805,0.085,0.291547595,160,25600,5,160,NF AMERICAN,Available,0.1,0.291547595,0.01,5,25,4,16
28,NFMF AMERICAN,39967,4,RIFFLE,7,1.05,0.36,AVAILABLE,4,0.6,1.1025,512,5,428,0.3605,0.365,0.604152299,428,183184,6,428,NFMF AMERICAN,Available,1.05,0.604152299,1.1025,6,36,5,25
29,RUBICON,39962,5,RIFFLE,5,0.29,0.5,AVAILABLE,7,0.707106781,0.0841,192,4,160,0.5005,0.505,0.71063352,160,25600,5,160,RUBICON,Available,0.29,0.71063352,0.0841,5,25,4,16
30,MF YUBA,39966,2,CA3ADE,8,0.38,0.89,AVAILABLE,3,0.943398113,0.1444,600,6,800,0.8905,0.895,0.946044396,600,360000,4,294,MF YUBA,Available,0.38,0.946044396,0.1444,4,16,6,36
31,NFMF AMERICAN,39967,4,RIFFLE,4,0.35,0.12,AVAILABLE,4,0.346410162,0.1225,96,4,160,0.1205,0.125,0.353553391,160,25600,5,160,NFMF AMERICAN,Available,0.35,0.353553391,0.1225,5,25,4,16
32,MF FEATHER,39980,8,POOL,8,0.2,0,AVAILABLE,2,0,0.04,600,6,800,0.0005,0.005,0.070710678,600,360000,4,294,MF FEATHER,Available,0.2,0.070710678,0.04,4,16,6,36
33,MF YUBA,39966,3,RUN,4,0.45,0.13,AVAILABLE,3,0.360555128,0.2025,96,4,160,0.1305,0.135,0.367423461,160,25600,5,160,MF YUBA,Available,0.45,0.367423461,0.2025,5,25,4,16
34,NF AMERICAN,39974,6,RIFFLE,5,0.54,0.85,AVAILABLE,5,0.921954446,0.2916,192,4,160,0.8505,0.855,0.9246621,160,25600,5,160,NF AMERICAN,Available,0.54,0.9246621,0.2916,5,25,4,16
35,MF FEATHER,39980,4,RIFFLE,7,0.36,0.04,AVAILABLE,2,0.2,0.1296,512,5,428,0.0405,0.045,0.212132034,428,183184,6,428,MF FEATHER,Available,0.36,0.212132034,0.1296,6,36,5,25
36,NF AMERICAN,39974,10,POOL,3,0.06,0.11,AVAILABLE,5,0.331662479,0.0036,31,3,32,0.1105,0.115,0.339116499,32,1024,3,32,NF AMERICAN,Available,0.06,0.339116499,0.0036,3,9,3,9
37,NF AMERICAN,39974,12,RAPID,7,0.65,1.02,AVAILABLE,5,1.009950494,0.4225,512,5,428,1.0205,1.025,1.012422837,428,183184,6,428,NF AMERICAN,Available,0.65,1.012422837,0.4225,6,36,5,25
38,NF FEATHER,39966,3,RAPID,7,0.89,0.51,AVAILABLE,6,0.714142843,0.7921,512,5,428,0.5105,0.515,0.717635005,428,183184,6,428,NF FEATHER,Available,0.89,0.717635005,0.7921,6,36,5,25
39,MF YUBA,39966,6,POOL,7,0.76,0.05,AVAILABLE,3,0.223606798,0.5776,512,5,428,0.0505,0.055,0.234520788,428,183184,6,428,MF YUBA,Available,0.76,0.234520788,0.5776,6,36,5,25
40,NF FEATHER,39966,3,RAPID,6,0.21,0.11,AVAILABLE,6,0.331662479,0.0441,334,5,428,0.1105,0.115,0.339116499,428,183184,6,428,NF FEATHER,Available,0.21,0.339116499,0.0441,6,36,5,25
41,NFMF AMERICAN,39967,2,RUN,7,0.16,0.02,AVAILABLE,4,0.141421356,0.0256,512,5,428,0.0205,0.025,0.158113883,428,183184,6,428,NFMF AMERICAN,Available,0.16,0.158113883,0.0256,6,36,5,25
42,MF FEATHER,39980,5,RUN,7,0.06,0.01,AVAILABLE,2,0.1,0.0036,512,5,428,0.0105,0.015,0.122474487,428,183184,6,428,MF FEATHER,Available,0.06,0.122474487,0.0036,6,36,5,25
43,MF FEATHER,39980,9,RAPID,7,0.55,0.47,AVAILABLE,2,0.68556546,0.3025,512,5,428,0.4705,0.475,0.689202438,428,183184,6,428,MF FEATHER,Available,0.55,0.689202438,0.3025,6,36,5,25
44,MF YUBA,39966,1,CA3ADE,7,0.84,0.09,AVAILABLE,3,0.3,0.7056,512,5,428,0.0905,0.095,0.3082207,428,183184,6,428,MF YUBA,Available,0.84,0.3082207,0.7056,6,36,5,25
45,NFMF AMERICAN,39967,4,RIFFLE,7,0.64,0.12,AVAILABLE,4,0.346410162,0.4096,512,5,428,0.1205,0.125,0.353553391,428,183184,6,428,NFMF AMERICAN,Available,0.64,0.353553391,0.4096,6,36,5,25
46,NF FEATHER,39966,11,RUN,7,0.5,0.1,AVAILABLE,6,0.316227766,0.25,512,5,428,0.1005,0.105,0.324037035,428,183184,6,428,NF FEATHER,Available,0.5,0.324037035,0.25,6,36,5,25
47,MF FEATHER,39980,5,RUN,8,0.9,0.09,AVAILABLE,2,0.3,0.81,600,6,800,0.0905,0.095,0.3082207,600,360000,4,294,MF FEATHER,Available,0.9,0.3082207,0.81,4,16,6,36
48,NFMF AMERICAN,39967,10,RUN,3,0.58,0.24,AVAILABLE,4,0.489897949,0.3364,31,3,32,0.2405,0.245,0.494974747,32,1024,3,32,NFMF AMERICAN,Available,0.58,0.494974747,0.3364,3,9,3,9
49,MF FEATHER,39980,6,RUN,8,0.76,0.98,AVAILABLE,2,0.989949494,0.5776,600,6,800,0.9805,0.985,0.992471662,600,360000,4,294,MF FEATHER,Available,0.76,0.992471662,0.5776,4,16,6,36
50,NF AMERICAN,39974,5,RIFFLE,8,0.66,1.09,AVAILABLE,5,1.044030651,0.4356,600,6,800,1.0905,1.095,1.046422477,600,360000,4,294,NF AMERICAN,Available,0.66,1.046422477,0.4356,4,16,6,36
51,MF YUBA,39966,11,POOL,8,0.48,0,AVAILABLE,3,0,0.2304,600,6,800,0.0005,0.005,0.070710678,600,360000,4,294,MF YUBA,Available,0.48,0.070710678,0.2304,4,16,6,36
52,MF YUBA,39966,8,RAPID,5,0.26,0.34,AVAILABLE,3,0.583095189,0.0676,192,4,160,0.3405,0.345,0.587367006,160,25600,5,160,MF YUBA,Available,0.26,0.587367006,0.0676,5,25,4,16
53,RUBICON,39962,9,RIFFLE,7,0.08,0.09,AVAILABLE,7,0.3,0.0064,512,5,428,0.0905,0.095,0.3082207,428,183184,6,428,RUBICON,Available,0.08,0.3082207,0.0064,6,36,5,25
54,NF FEATHER,39966,5,RUN,5,0.87,0.21,AVAILABLE,6,0.458257569,0.7569,192,4,160,0.2105,0.215,0.463680925,160,25600,5,160,NF FEATHER,Available,0.87,0.463680925,0.7569,5,25,4,16
55,NF FEATHER,39966,9,RUN,4,0.57,0.01,AVAILABLE,6,0.1,0.3249,96,4,160,0.0105,0.015,0.122474487,160,25600,5,160,NF FEATHER,Available,0.57,0.122474487,0.3249,5,25,4,16
56,NF AMERICAN,39974,13,RUN,4,0.06,0,AVAILABLE,5,0,0.0036,96,4,160,0.0005,0.005,0.070710678,160,25600,5,160,NF AMERICAN,Available,0.06,0.070710678,0.0036,5,25,4,16
57,NFMF AMERICAN,39967,10,RUN,6,0.752,0.78,AVAILABLE,4,0.883176087,0.565504,334,5,428,0.7805,0.785,0.886002257,428,183184,6,428,NFMF AMERICAN,Available,0.752,0.886002257,0.565504,6,36,5,25
58,MF FEATHER,39980,5,RUN,8,0.38,0.19,AVAILABLE,2,0.435889894,0.1444,600,6,800,0.1905,0.195,0.441588043,600,360000,4,294,MF FEATHER,Available,0.38,0.441588043,0.1444,4,16,6,36
59,NF AMERICAN,39974,6,RIFFLE,8,0.01,0,AVAILABLE,5,0,0.0001,600,6,800,0.0005,0.005,0.070710678,600,360000,4,294,NF AMERICAN,Available,0.01,0.070710678,0.0001,4,16,6,36
60,NFMF AMERICAN,39967,5,RUN,8,0.25,0,AVAILABLE,4,0,0.0625,600,6,800,0.0005,0.005,0.070710678,600,360000,4,294,NFMF AMERICAN,Available,0.25,0.070710678,0.0625,4,16,6,36
61,NFMF AMERICAN,39967,9,RUN,8,0.16,0.03,AVAILABLE,4,0.173205081,0.0256,600,6,800,0.0305,0.035,0.187082869,600,360000,4,294,NFMF AMERICAN,Available,0.16,0.187082869,0.0256,4,16,6,36
62,NFMF AMERICAN,39967,5,RUN,7,0.82,0.15,AVAILABLE,4,0.387298335,0.6724,512,5,428,0.1505,0.155,0.393700394,428,183184,6,428,NFMF AMERICAN,Available,0.82,0.393700394,0.6724,6,36,5,25
63,RUBICON,39962,2,POOL,5,0.28,0.22,AVAILABLE,7,0.469041576,0.0784,192,4,160,0.2205,0.225,0.474341649,160,25600,5,160,RUBICON,Available,0.28,0.474341649,0.0784,5,25,4,16
64,RUBICON,39962,1,RIFFLE,5,0.25,0.74,AVAILABLE,7,0.860232527,0.0625,192,4,160,0.7405,0.745,0.863133825,160,25600,5,160,RUBICON,Available,0.25,0.863133825,0.0625,5,25,4,16
65,MF FEATHER,39980,7,POOL,7,0.32,0.02,AVAILABLE,2,0.141421356,0.1024,512,5,428,0.0205,0.025,0.158113883,428,183184,6,428,MF FEATHER,Available,0.32,0.158113883,0.1024,6,36,5,25
66,MF FEATHER,39980,8,POOL,7,0.97,0.13,AVAILABLE,2,0.360555128,0.9409,512,5,428,0.1305,0.135,0.367423461,428,183184,6,428,MF FEATHER,Available,0.97,0.367423461,0.9409,6,36,5,25
67,RUBICON,39962,2,POOL,5,0.96,0.54,AVAILABLE,7,0.734846923,0.9216,192,4,160,0.5405,0.545,0.738241153,160,25600,5,160,RUBICON,Available,0.96,0.738241153,0.9216,5,25,4,16
68,NF AMERICAN,39974,6,RIFFLE,4,0.55,0.62,AVAILABLE,5,0.787400787,0.3025,96,4,160,0.6205,0.625,0.790569415,160,25600,5,160,NF AMERICAN,Available,0.55,0.790569415,0.3025,5,25,4,16
69,MF YUBA,39966,11,POOL,5,0.95,0.21,AVAILABLE,3,0.458257569,0.9025,192,4,160,0.2105,0.215,0.463680925,160,25600,5,160,MF YUBA,Available,0.95,0.463680925,0.9025,5,25,4,16
70,NF AMERICAN,39974,3,RUN,7,0.14,1.33,AVAILABLE,5,1.153256259,0.0196,512,5,428,1.3305,1.335,1.155422001,428,183184,6,428,NF AMERICAN,Available,0.14,1.155422001,0.0196,6,36,5,25
71,NF FEATHER,39966,7,RUN,5,0.46,0.07,AVAILABLE,6,0.264575131,0.2116,192,4,160,0.0705,0.075,0.273861279,160,25600,5,160,NF FEATHER,Available,0.46,0.273861279,0.2116,5,25,4,16
72,RUBICON,39962,2,POOL,5,0.12,0.13,AVAILABLE,7,0.360555128,0.0144,192,4,160,0.1305,0.135,0.367423461,160,25600,5,160,RUBICON,Available,0.12,0.367423461,0.0144,5,25,4,16
73,NF AMERICAN,39974,9,POOL,5,0.93,0.18,AVAILABLE,5,0.424264069,0.8649,192,4,160,0.1805,0.185,0.430116263,160,25600,5,160,NF AMERICAN,Available,0.93,0.430116263,0.8649,5,25,4,16
74,NF AMERICAN,39974,5,RIFFLE,7,0.75,0.82,AVAILABLE,5,0.905538514,0.5625,512,5,428,0.8205,0.825,0.908295106,428,183184,6,428,NF AMERICAN,Available,0.75,0.908295106,0.5625,6,36,5,25
75,RUBICON,39962,1,RIFFLE,7,0.52,0.01,AVAILABLE,7,0.1,0.2704,512,5,428,0.0105,0.015,0.122474487,428,183184,6,428,RUBICON,Available,0.52,0.122474487,0.2704,6,36,5,25
76,RUBICON,39962,3,POOL,8,0.18,0.04,AVAILABLE,7,0.2,0.0324,600,6,800,0.0405,0.045,0.212132034,600,360000,4,294,RUBICON,Available,0.18,0.212132034,0.0324,4,16,6,36
77,MF FEATHER,39980,11,RUN,4,0.76,0.92,AVAILABLE,2,0.959166305,0.5776,96,4,160,0.9205,0.925,0.961769203,160,25600,5,160,MF FEATHER,Available,0.76,0.961769203,0.5776,5,25,4,16
78,NFMF AMERICAN,39967,8,RIFFLE,6,0.39,0.11,AVAILABLE,4,0.331662479,0.1521,334,5,428,0.1105,0.115,0.339116499,428,183184,6,428,NFMF AMERICAN,Available,0.39,0.339116499,0.1521,6,36,5,25
79,NFMF AMERICAN,39967,7,RAPID,4,0.28,0.04,AVAILABLE,4,0.2,0.0784,96,4,160,0.0405,0.045,0.212132034,160,25600,5,160,NFMF AMERICAN,Available,0.28,0.212132034,0.0784,5,25,4,16
80,RUBICON,39962,5,RIFFLE,7,0.09,0.64,AVAILABLE,7,0.8,0.0081,512,5,428,0.6405,0.645,0.80311892,428,183184,6,428,RUBICON,Available,0.09,0.80311892,0.0081,6,36,5,25
81,NF FEATHER,39966,11,RUN,7,0.83,0.44,AVAILABLE,6,0.663324958,0.6889,512,5,428,0.4405,0.445,0.667083203,428,183184,6,428,NF FEATHER,Available,0.83,0.667083203,0.6889,6,36,5,25
82,NF AMERICAN,39974,3,RUN,4,0.42,0.53,AVAILABLE,5,0.728010989,0.1764,96,4,160,0.5305,0.535,0.731436942,160,25600,5,160,NF AMERICAN,Available,0.42,0.731436942,0.1764,5,25,4,16
83,MF YUBA,39966,5,POOL,4,0.36,0.08,AVAILABLE,3,0.282842712,0.1296,96,4,160,0.0805,0.085,0.291547595,160,25600,5,160,MF YUBA,Available,0.36,0.291547595,0.1296,5,25,4,16
84,RUBICON,39962,4,RIFFLE,6,0.64,1.1,AVAILABLE,7,1.048808848,0.4096,334,5,428,1.1005,1.105,1.051189802,428,183184,6,428,RUBICON,Available,0.64,1.051189802,0.4096,6,36,5,25
85,NFMF AMERICAN,39967,9,RUN,4,0.18,0.01,AVAILABLE,4,0.1,0.0324,96,4,160,0.0105,0.015,0.122474487,160,25600,5,160,NFMF AMERICAN,Available,0.18,0.122474487,0.0324,5,25,4,16
86,MF YUBA,39966,8,RAPID,7,0.12,0.52,AVAILABLE,3,0.721110255,0.0144,512,5,428,0.5205,0.525,0.724568837,428,183184,6,428,MF YUBA,Available,0.12,0.724568837,0.0144,6,36,5,25
87,NF FEATHER,39966,5,RUN,6,1.02,0.33,AVAILABLE,6,0.574456265,1.0404,334,5,428,0.3305,0.335,0.578791845,428,183184,6,428,NF FEATHER,Available,1.02,0.578791845,1.0404,6,36,5,25
88,NF AMERICAN,39974,4,RIFFLE,2,0.18,0.01,AVAILABLE,5,0.1,0.0324,2,2,1.025,0.0105,0.015,0.122474487,1.025,1.050625,2,1.025,NF AMERICAN,Available,0.18,0.122474487,0.0324,2,4,2,4
89,MF FEATHER,39980,3,RIFFLE,6,0.04,0.1,AVAILABLE,2,0.316227766,0.0016,334,5,428,0.1005,0.105,0.324037035,428,183184,6,428,MF FEATHER,Available,0.04,0.324037035,0.0016,6,36,5,25
90,MF YUBA,39966,1,CA3ADE,7,0.24,0.31,AVAILABLE,3,0.556776436,0.0576,512,5,428,0.3105,0.315,0.561248608,428,183184,6,428,MF YUBA,Available,0.24,0.561248608,0.0576,6,36,5,25
91,NF FEATHER,39966,3,RAPID,7,0.49,0.34,AVAILABLE,6,0.583095189,0.2401,512,5,428,0.3405,0.345,0.587367006,428,183184,6,428,NF FEATHER,Available,0.49,0.587367006,0.2401,6,36,5,25
92,NFMF AMERICAN,39967,3,RUN,7,0.16,0.59,AVAILABLE,4,0.768114575,0.0256,512,5,428,0.5905,0.595,0.771362431,428,183184,6,428,NFMF AMERICAN,Available,0.16,0.771362431,0.0256,6,36,5,25
93,RUBICON,39962,1,RIFFLE,7,0.6,0.41,AVAILABLE,7,0.640312424,0.36,512,5,428,0.4105,0.415,0.644204936,428,183184,6,428,RUBICON,Available,0.6,0.644204936,0.36,6,36,5,25
94,NF AMERICAN,39974,2,RAPID,4,0.12,0.28,AVAILABLE,5,0.529150262,0.0144,96,4,160,0.2805,0.285,0.533853913,160,25600,5,160,NF AMERICAN,Available,0.12,0.533853913,0.0144,5,25,4,16
95,RUBICON,39962,11,RUN,4,0.46,0.2,AVAILABLE,7,0.447213595,0.2116,96,4,160,0.2005,0.205,0.452769257,160,25600,5,160,RUBICON,Available,0.46,0.452769257,0.2116,5,25,4,16
96,MF YUBA,39966,10,POOL,4,0.15,0.35,AVAILABLE,3,0.591607978,0.0225,96,4,160,0.3505,0.355,0.595818764,160,25600,5,160,MF YUBA,Available,0.15,0.595818764,0.0225,5,25,4,16
97,NF FEATHER,39966,11,RUN,7,0.63,0.31,AVAILABLE,6,0.556776436,0.3969,512,5,428,0.3105,0.315,0.561248608,428,183184,6,428,NF FEATHER,Available,0.63,0.561248608,0.3969,6,36,5,25
98,NF AMERICAN,39974,13,RUN,5,0.52,1.01,AVAILABLE,5,1.004987562,0.2704,192,4,160,1.0105,1.015,1.007472084,160,25600,5,160,NF AMERICAN,Available,0.52,1.007472084,0.2704,5,25,4,16
99,MF YUBA,39966,4,RUN,7,0.24,0.64,AVAILABLE,3,0.8,0.0576,512,5,428,0.6405,0.645,0.80311892,428,183184,6,428,MF YUBA,Available,0.24,0.80311892,0.0576,6,36,5,25
100,NF AMERICAN,39974,7,RUN,4,0.52,0.26,AVAILABLE,5,0.509901951,0.2704,96,4,160,0.2605,0.265,0.514781507,160,25600,5,160,NF AMERICAN,Available,0.52,0.514781507,0.2704,5,25,4,16
101,RUBICON,39962,2,POOL,6,0.31,0.57,AVAILABLE,7,0.754983444,0.0961,334,5,428,0.5705,0.575,0.758287544,428,183184,6,428,RUBICON,Available,0.31,0.758287544,0.0961,6,36,5,25
102,RUBICON,39962,1,RIFFLE,7,0.59,0.1,AVAILABLE,7,0.316227766,0.3481,512,5,428,0.1005,0.105,0.324037035,428,183184,6,428,RUBICON,Available,0.59,0.324037035,0.3481,6,36,5,25
103,MF YUBA,39966,3,RUN,2,0.13,0.01,AVAILABLE,3,0.1,0.0169,2,2,1.025,0.0105,0.015,0.122474487,1.025,1.050625,2,1.025,MF YUBA,Available,0.13,0.122474487,0.0169,2,4,2,4
104,NF AMERICAN,39974,1,RAPID,5,0.05,1.1,AVAILABLE,5,1.048808848,0.0025,192,4,160,1.1005,1.105,1.051189802,160,25600,5,160,NF AMERICAN,Available,0.05,1.051189802,0.0025,5,25,4,16
105,NF AMERICAN,39974,4,RIFFLE,8,0.24,1,AVAILABLE,5,1,0.0576,600,6,800,1.0005,1.005,1.002496883,600,360000,4,294,NF AMERICAN,Available,0.24,1.002496883,0.0576,4,16,6,36
106,MF FEATHER,39980,8,POOL,8,0.06,0.04,AVAILABLE,2,0.2,0.0036,600,6,800,0.0405,0.045,0.212132034,600,360000,4,294,MF FEATHER,Available,0.06,0.212132034,0.0036,4,16,6,36
107,MF YUBA,39966,10,POOL,4,0.44,0.03,AVAILABLE,3,0.173205081,0.1936,96,4,160,0.0305,0.035,0.187082869,160,25600,5,160,MF YUBA,Available,0.44,0.187082869,0.1936,5,25,4,16
108,MF FEATHER,39980,4,RIFFLE,5,0.08,0.02,AVAILABLE,2,0.141421356,0.0064,192,4,160,0.0205,0.025,0.158113883,160,25600,5,160,MF FEATHER,Available,0.08,0.158113883,0.0064,5,25,4,16
109,NFMF AMERICAN,39967,3,RUN,7,0.7,0.24,AVAILABLE,4,0.489897949,0.49,512,5,428,0.2405,0.245,0.494974747,428,183184,6,428,NFMF AMERICAN,Available,0.7,0.494974747,0.49,6,36,5,25
110,NF AMERICAN,39974,4,RIFFLE,8,0.3,0.03,AVAILABLE,5,0.173205081,0.09,600,6,800,0.0305,0.035,0.187082869,600,360000,4,294,NF AMERICAN,Available,0.3,0.187082869,0.09,4,16,6,36
111,NFMF AMERICAN,39967,8,RIFFLE,6,0.8,0.74,AVAILABLE,4,0.860232527,0.64,334,5,428,0.7405,0.745,0.863133825,428,183184,6,428,NFMF AMERICAN,Available,0.8,0.863133825,0.64,6,36,5,25
112,NF FEATHER,39966,9,RUN,5,0.44,0.11,AVAILABLE,6,0.331662479,0.1936,192,4,160,0.1105,0.115,0.339116499,160,25600,5,160,NF FEATHER,Available,0.44,0.339116499,0.1936,5,25,4,16
113,MF YUBA,39966,2,CA3ADE,7,0.32,0.08,AVAILABLE,3,0.282842712,0.1024,512,5,428,0.0805,0.085,0.291547595,428,183184,6,428,MF YUBA,Available,0.32,0.291547595,0.1024,6,36,5,25
114,RUBICON,39962,2,POOL,6,0.38,0.68,AVAILABLE,7,0.824621125,0.1444,334,5,428,0.6805,0.685,0.827647268,428,183184,6,428,RUBICON,Available,0.38,0.827647268,0.1444,6,36,5,25
115,MF FEATHER,39980,12,POOL,4,1.07,0.26,AVAILABLE,2,0.509901951,1.1449,96,4,160,0.2605,0.265,0.514781507,160,25600,5,160,MF FEATHER,Available,1.07,0.514781507,1.1449,5,25,4,16
116,NF AMERICAN,39974,10,POOL,3,0.2,0.06,AVAILABLE,5,0.244948974,0.04,31,3,32,0.0605,0.065,0.254950976,32,1024,3,32,NF AMERICAN,Available,0.2,0.254950976,0.04,3,9,3,9
117,NF AMERICAN,39974,6,RIFFLE,8,0.92,0.78,AVAILABLE,5,0.883176087,0.8464,600,6,800,0.7805,0.785,0.886002257,600,360000,4,294,NF AMERICAN,Available,0.92,0.886002257,0.8464,4,16,6,36
