id,datetime,baropressure,filename,site,airtemp
66,02/09/15 05:00 AM,27.63,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0066.JPG,NFY,5
67,02/09/15 06:00 AM,27.67,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0067.JPG,NFY,5
68,02/09/15 07:00 AM,27.71,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0068.JPG,NFY,5
69,02/09/15 08:00 AM,27.73,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0069.JPG,NFY,5
70,02/09/15 09:00 AM,27.77,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0070.JPG,NFY,5
71,02/09/15 10:00 AM,27.78,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0071.JPG,NFY,5
72,02/09/15 11:00 AM,27.79,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0072.JPG,NFY,6
73,02/09/15 12:00 PM,27.80,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0073.JPG,NFY,6
74,02/09/15 01:00 PM,27.77,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0074.JPG,NFY,6
75,02/09/15 02:00 PM,27.77,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0075.JPG,NFY,6
76,02/09/15 03:00 PM,27.77,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0076.JPG,NFY,6
77,02/09/15 04:00 PM,27.79,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0077.JPG,NFY,4
78,02/09/15 05:00 PM,27.81,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0078.JPG,NFY,4
79,02/09/15 06:00 PM,27.81,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0079.JPG,NFY,3
80,02/09/15 07:00 PM,27.82,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0080.JPG,NFY,3
81,02/09/15 08:00 PM,27.82,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0081.JPG,NFY,3
82,02/09/15 09:00 PM,27.83,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0082.JPG,NFY,3
83,02/09/15 10:00 PM,27.82,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0083.JPG,NFY,2
84,02/09/15 11:00 PM,27.84,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0084.JPG,NFY,2
85,02/10/15 12:00 AM,27.84,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0085.JPG,NFY,2
86,02/10/15 01:00 AM,27.82,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0086.JPG,NFY,1
87,02/10/15 02:00 AM,27.81,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0087.JPG,NFY,1
88,02/10/15 03:00 AM,27.82,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0088.JPG,NFY,0
89,02/10/15 04:00 AM,27.79,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0089.JPG,NFY,0
90,02/10/15 05:00 AM,27.79,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0090.JPG,NFY,-1
91,02/10/15 06:00 AM,27.80,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0091.JPG,NFY,-1
92,02/10/15 07:00 AM,27.79,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0092.JPG,NFY,-1
93,02/10/15 08:00 AM,27.81,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0093.JPG,NFY,-2
94,02/10/15 09:00 AM,27.79,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0094.JPG,NFY,-2
95,02/10/15 10:00 AM,27.79,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0095.JPG,NFY,1
96,02/10/15 11:00 AM,27.77,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0096.JPG,NFY,3
