Site,Year,WYT,Time,County,Trib,TribName,REG,obs_strt,obs_end,estim_strt,estim_end,Tot_E_Obs,Sierra_Coast,SourceNotes
RUB,2012,D,12:00,PLACER,N,,R,5/21/12,6/4/12,5/14/12,6/4/12,,S,UCD
Am Canyon Ck,2012,D,12:00,PLACER,Y,AmCanyon,R,5/7/12,,5/1/12,,,S,UCD
Robbers Rav,2012,D,12:00,PLACER,Y,RobbersRav,U,6/6/12,,5/1/12,5/25/12,,S,UCD
MFY,2012,D,12:00,SIERRA,N,,R,5/23/12,,5/15/12,6/1/12,,S,UCD
NFY,2012,D,12:00,SIERRA,N,,U,6/5/12,,5/15/12,6/1/12,,S,UCD
NFA,2012,D,12:00,PLACER,N,,U,5/25/12,6/6/12,5/18/12,6/10/12,,S,UCD
NFA,2013,D,12:00,PLACER,N,,U,5/10/13,5/20/13,5/10/13,5/20/13,,S,UCD
RUB,2013,D,12:00,PLACER,N,,R,4/30/13,5/20/13,4/30/13,5/20/13,,S,UCD
NFY,2013,D,12:00,SIERRA,N,,U,5/13/13,5/23/13,5/13/13,5/23/13,,S,UCD
SFY,2013,D,12:00,SIERRA,N,,R,5/16/13,5/16/13,5/1/13,5/20/13,,S,UCD
Am Canyon Ck,2013,D,12:00,PLACER,Y,AmCanyon,R,4/25/13,5/10/13,4/20/13,5/10/13,,S,UCD
Robbers Rav,2013,D,12:00,PLACER,Y,RobbersRav,U,4/25/13,5/10/13,4/20/13,5/10/13,,S,UCD
NFA,2014,D,12:00,PLACER,N,,U,5/8/14,,5/7/14,,,S,UCD
RUB,2014,D,12:00,PLACER,N,,R,5/6/14,,5/4/14,,,S,UCD
NFY,2014,D,12:00,SIERRA,N,,U,5/12/14,,5/8/14,,,S,UCD
SFY,2014,D,12:00,SIERRA,N,,R,5/13/14,,5/6/14,,,S,UCD
SFY,2015,D,12:00,SIERRA,N,,R,,,5/1/15,,,S,UCD
RUB,2015,D,12:00,PLACER,N,,R,4/28/15,5/20/15,4/28/15,,,S,UCD
NFA,2015,D,12:00,PLACER,Y,Robbers Rav,U,5/1/15,,4/25/15,,,S,UCD
NFA,2015,D,12:00,PLACER,N,,U,5/1/15,,5/1/15,,,S,UCD
NFY,2015,D,12:00,SIERRA,N,,U,5/8/15,5/22/15,5/5/15,5/25/15,,S,UCD
NFA,2016,D,12:00,PLACER,Y,Robbers Rav,U,4/22/16,5/25/16,4/22/16,5/25/16,,S,UCD
MFA,2016,D,12:00,PLACER,Y,American Canyon,R,5/2/16,,4/22/16,,,S,UCD
NFA,2016,D,12:00,PLACER,N,,U,5/25/16,,5/25/16,,,S,UCD
MFA,2016,D,12:00,PLACER,N,Upstream Ralston,R,5/13/16,,5/7/16,,,S,UCD
NFY,2016,D,12:00,SIERRA,N,,U,5/31/16,,5/26/16,,,S,UCD
SFY,2016,D,12:00,SIERRA,N,,R,6/1/16,,5/25/16,,,S,UCD
RUB,2016,D,12:00,PLACER,N,Ralston,R,6/3/16,,5/20/16,,,S,UCD
NFA,2017,W,12:00,PLACER,N,,U,6/9/17,,6/9/17,,,S,UCD
NFA,2018,N,12:00,PLACER,N,,U,6/1/18,,6/1/18,,,S,UCD-visited 6/5
NFA,2019,W,12:00,PLACER,N,,U,,,6/20/19,,25,S,UCD
